col_0,col_1,col_2
4.285179827860220669e+00,-3.061616997868383043e-15,-1.570796326794896558e+01
4.161581724066605759e+00,-1.560167228492441271e+00,-1.539063067667726870e+01
3.599732172385290419e+00,-2.964539645273202684e+00,-1.507329808540557359e+01
1.994568447431985359e+00,-4.072879760251680636e+00,-1.475596549413387670e+01
1.374440860225469851e+00,-4.774511207220371034e+00,-1.443863290286217982e+01
3.954805499590596796e-01,-4.999370638369375008e+00,-1.412130031159048471e+01
1.365975964307753365e+00,-4.725004093573341279e+00,-1.380396772031878783e+01
8.580036193407469813e-01,-3.978809202654156607e+00,-1.348663512904709094e+01
3.207521205700113676e+00,-2.835299319313853594e+00,-1.316930253777539583e+01
3.786560651600254790e+00,-1.408662784207145302e+00,-1.285196994650369895e+01
3.154003426818157596e+00,1.586396674903356729e-01,-1.253463735523200384e+01
3.553638953411528245e+00,1.710100716628344175e+00,-1.221730476396030696e+01
2.216162083850978348e+00,3.090794931103028720e+00,-1.189997217268861007e+01
6.354916234906193839e-01,4.162849273173859999e+00,-1.158263958141691319e+01
3.252108167760511925e+00,4.819210792799710319e+00,-1.126530699014521808e+01
7.066894917136967713e-02,4.994336695915039925e+00,-1.094797439887352120e+01
4.106095917358989489e+00,4.670739301325534498e+00,-1.063064180760182609e+01
3.259293989691769866e+00,3.880732321458783662e+00,-1.031330921633012920e+01
4.641426525132919423e+00,2.703204087277985224e+00,-9.995976625058432319e+00
2.179099421346624155e+00,1.255739935905389348e+00,-9.678644033786735434e+00
3.666458223917526293e+00,-3.171195982828231563e-01,-9.361311442515040326e+00
1.513733072178878869e+00,-1.858312278301641252e+00,-9.043978851243343442e+00
2.633948560358507773e+00,-3.213938048432694483e+00,-8.726646259971648334e+00
1.079914378379364770e+00,-4.248627149747572496e+00,-8.409313668699951450e+00
1.645834906684050525e+00,-4.859057841617709705e+00,-8.091981077428254565e+00
1.184212329987802681e+00,-4.984273879759711257e+00,-7.774648486156558569e+00
3.659527310887958240e+00,-4.611771470522906924e+00,-7.457315894884862573e+00
1.558776213920553655e+00,-3.778747871771288569e+00,-7.139983303613165688e+00
3.205504934561385966e+00,-2.568386957867033971e+00,-6.822650712341470580e+00
2.538893313468078894e+00,-1.101552663932702236e+00,-6.505318121069773696e+00
