X,Y
numeric,numeric
9.185,0.536
29.323,-3.209
26.767,2.751
17.792,-2.810
14.624,2.409
8.078,3.677
3.736,-3.280
10.999,-2.997
18.113,-3.055
3.330,-0.443
7.269,1.883
18.756,0.630
1.163,2.235
20.432,1.028
10.113,-1.804
25.021,-0.435
17.094,-2.259
10.920,-6.434
29.149,-5.788
18.998,-2.403
4.484,-2.145
20.318,4.241
0.650,0.551
25.113,-0.915
26.606,2.450
30.873,-1.683
1.612,3.807
20.943,5.853
28.132,-0.439
4.320,-4.760
13.131,1.500
28.040,0.698
22.031,0.300
22.369,-2.570
19.957,2.492
4.229,-2.608
20.611,3.788
1.589,2.943
27.273,-0.431
16.983,-2.743
12.637,0.343
29.329,-5.098
8.886,-4.349
16.516,2.093
27.577,-2.730
1.606,1.903
22.600,-1.609
26.767,3.695
12.309,-1.230
2.056,4.444
18.488,-0.708
7.718,-1.816
1.698,5.449
2.633,1.483
21.208,1.593
13.624,2.483
7.976,2.466
7.389,-0.412
30.232,1.421
19.656,1.353
16.690,-5.293
26.497,2.301
8.316,2.894
7.370,1.517
0.310,0.614
26.103,3.267
12.382,-0.534
0.626,2.878
19.810,3.232
0.280,2.787
2.998,-0.264
3.941,-3.163
7.129,2.058
22.923,-2.506
24.050,-2.240
30.455,-2.424
7.969,3.445
25.261,0.278
4.233,-5.397
19.466,0.357
28.952,-2.792
8.177,5.069
16.966,-1.347
18.107,-6.711
25.942,1.929
27.132,4.331
12.338,0.504
26.536,3.024
27.585,1.572
3.766,-2.953
20.325,1.321
13.426,7.010
26.143,4.017
5.393,-3.122
22.706,-2.691
18.797,-0.694
11.934,-1.594
24.326,-1.065
2.458,0.507
30.060,-4.701
19.342,0.794
11.941,-0.031
9.542,-1.425
11.274,-4.139
6.763,1.410
25.517,1.001
29.106,-2.414
26.658,2.970
18.059,-1.273
13.844,1.109
13.750,2.854
9.495,0.397
12.550,-2.042
5.607,-5.168
11.960,-4.144
6.572,1.993
11.839,0.646
11.758,-1.511
28.053,1.155
4.426,-3.745
6.804,0.564
29.967,-2.982
11.934,-2.806
10.864,-3.298
0.383,4.713
1.276,-0.997
15.153,1.799
21.345,6.653
7.745,3.651
28.134,0.755
23.851,-0.745
20.961,4.435
2.976,3.869
24.195,-1.943
2.807,0.945
6.386,4.721
0.557,3.160
21.144,4.720
24.651,-2.615
18.956,-2.443
26.730,3.375
19.591,3.716
0.082,-1.354
24.610,1.185
0.189,0.502
13.947,2.536
23.530,-2.230
17.275,-1.821
19.989,2.942
23.454,-2.980
30.831,-1.746
17.117,0.290
29.773,-5.466
23.085,-2.239
29.736,-2.834
4.479,-4.788
8.325,2.313
22.400,-0.755
2.089,3.534
4.560,-3.602
7.005,3.327
21.204,2.821
11.193,-3.084
8.468,2.864
12.826,-1.854
28.920,0.085
25.426,1.302
22.501,-0.149
12.928,1.301
11.679,0.423
16.255,-1.041
12.467,-3.268
29.417,-5.066
23.517,-8.215
3.725,-0.482
19.030,0.639
21.442,2.177
4.421,-2.651
13.068,0.953
16.930,-3.919
21.121,-0.814
10.116,-1.361
26.402,-3.094
26.142,2.944
11.186,-2.761
14.265,2.877
27.824,1.026
29.469,-4.142
17.432,-3.020
29.342,-2.696
19.696,2.224
23.261,-2.021
20.540,4.136
19.332,3.310
2.773,2.492
7.310,2.487
9.812,-2.006
23.277,-3.161
8.943,1.934
15.087,3.113
31.074,-0.034
15.810,1.318
3.026,1.370
9.942,-4.221
30.252,-2.687
10.176,-1.395
8.038,2.098
10.300,1.060
13.867,3.993
29.224,-2.006
21.580,-0.660
19.185,0.947
21.816,0.937
30.933,-3.112
12.311,-0.741
27.918,0.189
5.829,-1.445
25.962,1.490
13.750,3.408
0.748,1.781
6.452,-1.634
7.508,3.258
23.181,-3.071
16.103,-2.025
14.955,2.089
15.225,0.965
27.224,2.563
18.601,0.640
28.980,-1.361
16.905,-5.266
1.252,1.191
25.953,2.226
29.520,-2.563
25.289,3.989
4.038,-1.043
21.614,1.489
12.730,0.505
6.491,0.271
13.254,1.425
21.158,2.147
20.932,4.227
4.597,-1.857
25.992,2.824
30.460,-3.083
21.807,-2.579
7.103,2.933
15.781,1.727
0.075,-0.726
12.740,0.278
2.537,0.874
22.411,-1.850
22.850,-2.683
25.467,0.098
23.504,-2.662
16.045,0.738
8.974,1.222
8.047,2.948
0.823,0.136
15.285,2.089
5.883,-0.776
28.738,0.390
21.944,3.952
20.139,2.933
20.775,2.853
15.238,0.308
20.750,3.073
3.364,0.190
23.799,-3.826
7.364,1.781
7.771,2.862
24.454,3.239
16.921,-1.661
14.741,2.345
9.258,5.833
23.531,-2.490
14.537,4.547
30.591,-0.756
17.097,-6.307
12.724,-0.451
19.630,1.765
10.770,-1.684
18.143,-1.763
2.811,2.660
27.391,0.475
3.880,-1.566
11.426,-3.129
3.191,-0.054
4.954,-5.332
10.693,-4.091
27.051,2.304
10.294,-4.248
23.123,-2.114
18.478,-4.843
0.210,0.611
10.449,-2.949
11.777,-2.537
25.885,-1.668
12.088,0.097
9.579,2.293
12.422,-3.111
13.746,2.768
13.010,1.242
22.472,1.545
28.113,-0.776
10.057,-3.514
27.979,-0.339
3.728,0.686
19.415,1.670
20.011,0.723
29.477,-3.218
11.687,-1.716
27.211,5.821
20.412,7.537
9.346,2.242
1.796,2.979
8.487,1.501
5.244,-2.344
26.518,3.633
28.851,-8.738
1.720,2.847
9.902,-6.148
18.391,-1.190
0.991,2.398
15.691,-0.480
1.975,1.440
22.234,-0.816
11.504,-3.366
4.030,-4.915
13.181,3.611
12.099,0.365
22.229,-0.428
1.977,4.146
0.534,2.652
20.514,4.624
23.654,-1.417
25.405,0.192
8.170,2.645
15.900,-0.729
16.047,-0.655
22.243,-0.313
28.744,-1.116
13.979,2.047
24.470,-1.422
6.281,-1.109
16.122,-1.623
28.373,-0.305
1.400,2.897
16.120,-1.332
8.903,2.898
19.623,1.924
28.857,-2.604
1.695,5.783
26.648,2.488
21.813,2.945
20.415,4.870
7.561,3.650
15.909,-5.364
13.953,1.599
7.390,2.826
21.725,-0.490
10.749,-0.703
25.028,-0.413
28.734,-4.764
14.464,1.086
12.260,-0.314
21.000,0.624
0.779,0.395
22.351,3.812
6.463,4.174
20.629,2.615
31.393,-2.422
24.350,-2.022
14.182,0.297
15.957,-0.655
0.973,2.337
20.840,1.024
27.945,1.687
0.832,2.078
9.645,-0.798
23.879,-4.001
10.177,-1.311
14.803,0.895
20.708,3.339
23.353,-0.456
26.440,3.096
24.584,1.451
21.907,1.313
12.953,1.041
25.042,-0.768
1.468,1.659
13.205,0.730
30.014,-4.214
20.783,2.178
19.168,0.774
3.689,-0.306
6.075,-0.164
12.204,-3.634
6.568,0.767
19.186,4.577
20.938,1.188
25.582,1.808
7.649,6.438
12.327,1.665
30.267,-3.911
23.720,-2.114
28.976,-2.266
13.871,5.256
25.326,0.184
11.024,-0.553
2.758,-1.629
13.134,-0.397
29.155,0.058
0.114,0.183
9.567,0.084
0.350,1.403
6.275,-1.145
21.912,0.470
31.154,-6.115
8.169,2.683
16.951,-3.050
1.273,2.624
11.781,-1.950
15.670,-2.607
3.250,2.361
3.388,-0.094
22.242,-0.410
29.148,-2.754
25.838,2.380
24.988,0.824
3.609,0.925
22.673,-2.711
8.974,1.707
11.882,-0.396
10.687,-2.360
29.580,-5.022
22.309,3.179
12.859,-3.315
25.021,-0.732
25.030,-0.289
7.424,3.117
5.093,-1.528
7.810,3.253
3.050,-0.850
2.294,3.181
24.047,-2.623
29.511,-2.873
11.971,0.101
24.483,-1.282
29.309,-2.716
6.809,1.041
6.811,1.824
29.755,-2.496
22.025,0.284
13.076,-0.317
8.251,3.821
10.572,-3.277
15.226,0.153
5.357,-3.081
12.427,-0.615
25.460,2.992
2.096,1.441
10.148,-2.367
3.753,-1.698
22.955,-1.911
2.856,0.797
23.261,-3.864
24.805,-6.017
14.384,4.752
30.805,-2.254
2.269,1.613
21.820,0.938
29.327,-4.502
5.859,-7.037
19.069,-1.347
2.348,2.619
12.298,-1.603
3.528,0.042
3.598,-1.327
15.830,-8.088
9.998,-2.135
18.866,0.002
1.698,3.833
0.289,2.123
20.502,3.130
20.226,2.915
7.490,3.635
29.317,-2.173
31.005,-1.484
6.730,2.467
30.190,-1.387
7.667,2.910
10.868,-4.249
9.461,1.238
20.324,2.979
6.671,0.602
7.287,3.431
18.956,-3.528
16.362,-1.013
19.752,2.121
18.840,-0.322
